Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","21","Brazil","5510","Production","56","Maize","2010","2010","tonnes","55364271","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2011","2011","ha","13218892","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2011","2011","hg/ha","42107","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2011","2011","tonnes","55660235","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2012","2012","ha","14198496","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2012","2012","hg/ha","50057","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2012","2012","tonnes","71072810","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2013","2013","ha","15279652","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2013","2013","hg/ha","52536","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2013","2013","tonnes","80273172","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2014","2014","ha","15432909","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2014","2014","hg/ha","51761","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2014","2014","tonnes","79881614","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2015","2015","ha","15407143","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2015","2015","hg/ha","55353","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2015","2015","tonnes","85283074","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2016","2016","ha","14970502","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2016","2016","hg/ha","42877","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2016","2016","tonnes","64188314","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2017","2017","ha","17427206","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2017","2017","hg/ha","56183","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2017","2017","tonnes","97910658","","Official data",""
"QC","Crops","21","Brazil","5312","Area harvested","56","Maize","2018","2018","ha","16121147","","Official data",""
"QC","Crops","21","Brazil","5419","Yield","56","Maize","2018","2018","hg/ha","51044","Fc","Calculated data",""
"QC","Crops","21","Brazil","5510","Production","56","Maize","2018","2018","tonnes","82288298","","Official data",""
