Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1995,1995,tonnes,930135,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1996,1996,ha,1920250,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1996,1996,hg/ha,7130,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1996,1996,tonnes,1369196,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1997,1997,ha,1988190,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1997,1997,hg/ha,6179,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1997,1997,tonnes,1228513,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1998,1998,ha,2070410,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1998,1998,hg/ha,8160,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1998,1998,tonnes,1689366,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",1999,1999,ha,2222925,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",1999,1999,hg/ha,7341,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",1999,1999,tonnes,1631852,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2000,2000,ha,2267968,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2000,2000,hg/ha,8393,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2000,2000,tonnes,1903562,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2001,2001,ha,2336031,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2001,2001,hg/ha,7789,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2001,2001,tonnes,1819569,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2002,2002,ha,2370891,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2002,2002,hg/ha,11011,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2002,2002,tonnes,2610524,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2003,2003,ha,2395501,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2003,2003,hg/ha,8295,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2003,2003,tonnes,1987074,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2004,2004,ha,2368040,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2004,2004,hg/ha,10412,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2004,2004,tonnes,2465710,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2005,2005,ha,2325920,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2005,2005,hg/ha,9201,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2005,2005,tonnes,2140169,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2006,2006,ha,2312157,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2006,2006,hg/ha,11130,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2006,2006,tonnes,2573368,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2007,2007,ha,2264129,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2007,2007,hg/ha,9933,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2007,2007,tonnes,2249011,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2008,2008,ha,2222224,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2008,2008,hg/ha,12586,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2008,2008,tonnes,2796927,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2009,2009,ha,2135508,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2009,2009,hg/ha,11426,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2009,2009,tonnes,2440056,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2010,2010,ha,2159785,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2010,2010,hg/ha,13461,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2010,2010,tonnes,2907265,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2011,2011,ha,2148775,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2011,2011,hg/ha,12568,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2011,2011,tonnes,2700540,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2012,2012,ha,2120080,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2012,2012,hg/ha,14327,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2012,2012,tonnes,3037534,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2013,2013,ha,2085522,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2013,2013,hg/ha,14215,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2013,2013,tonnes,2964538,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2014,2014,ha,1997827,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2014,2014,hg/ha,14036,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2014,2014,tonnes,2804070,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2015,2015,ha,1977714,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2015,2015,hg/ha,13387,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2015,2015,tonnes,2647504,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2016,2016,ha,1996604,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2016,2016,hg/ha,15148,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2016,2016,tonnes,3024466,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2017,2017,ha,1802417,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2017,2017,hg/ha,14894,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2017,2017,tonnes,2684508,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,656,"Coffee, green",2018,2018,ha,1866225,,Official data,
QC,Crops,21,Brazil,5419,Yield,656,"Coffee, green",2018,2018,hg/ha," 19,058.00 ",Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2018,2018,tonnes,3556638,,Official data,
,,,,,,,,,,,,,,
,,,,,,,,,,,19057.9271,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,3558000,,,
,,,,,,,,,,,1.906522525,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,1.90579271,,,
